,Class,PCs11,PCs12,PCs13,PCs14,PCs15,PCs16,PCs17,PCs18,PCs19,PCs20,PCs21,PCs22,PCs23,PCs24,PCs25,ClassResults
UW105-825_LRM2,,East Paranthropus,East Paranthropus,East Paranthropus,none,none,none,none,none,Prob,Prob,Prob,Prob,Prob,none,none,
UW_105_002A_LLM2,,Prob,Prob,Prob,Prob,none,none,none,Prob,Prob,Prob,Prob,Prob,Prob,Prob,Prob,
